sample_id,true_label,true_label_name,predicted_label,predicted_label_name,entropy,confidence,margin,top2_class,top2_class_name,top2_prob,density_dist,is_correct,knowledge_gap,gap_explanation,learning_objective,objective_description,selected_strategy,strategy_reason,n_experiences
42019,2,Pullover,2,Pullover,0.595955,0.737657,0.479049,4,Coat,0.258608,6.431549,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Pullover', true 'Pullover'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Pullover'.,8
25931,7,Sneaker,7,Sneaker,0.596000,0.808384,0.662726,9,Ankle boot,0.145659,9.823299,True,low_intra_class_diversity,Medium entropy (0.596) with sparse feature-space neighbourhood for 'Sneaker' (density_dist=9.823 > threshold 8.669). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Sneaker'.,8
23135,0,T-shirt/top,3,Dress,0.596048,0.838967,0.739035,0,T-shirt/top,0.099933,8.530948,False,general_uncertainty,"Moderate uncertainty (0.596). Prediction was incorrect (predicted 'Dress', true 'T-shirt/top'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
8983,7,Sneaker,7,Sneaker,0.596052,0.718999,0.438242,9,Ankle boot,0.280757,4.696696,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Sneaker', true 'Sneaker'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Sneaker'.,8
6416,4,Coat,4,Coat,0.596081,0.770060,0.551929,3,Dress,0.218131,7.578485,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Coat', true 'Coat'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Coat'.,8
30546,4,Coat,4,Coat,0.596112,0.822334,0.687366,3,Dress,0.134968,8.310410,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Coat', true 'Coat'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Coat'.,8
29038,6,Shirt,6,Shirt,0.596161,0.718350,0.436885,0,T-shirt/top,0.281465,7.689893,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Shirt', true 'Shirt'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Shirt'.,8
22739,4,Coat,4,Coat,0.596229,0.791405,0.610337,2,Pullover,0.181069,6.467988,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Coat', true 'Coat'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Coat'.,8
1159,0,T-shirt/top,0,T-shirt/top,0.596238,0.726265,0.453841,2,Pullover,0.272424,16.555054,True,low_intra_class_diversity,Medium entropy (0.596) with sparse feature-space neighbourhood for 'T-shirt/top' (density_dist=16.555 > threshold 8.669). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
26611,2,Pullover,2,Pullover,0.596268,0.849538,0.777702,4,Coat,0.071836,7.977894,True,general_uncertainty,"Moderate uncertainty (0.596). Prediction was correct (predicted 'Pullover', true 'Pullover'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Pullover'.,8
