sample_id,true_label,true_label_name,predicted_label,predicted_label_name,entropy,confidence,margin,top2_class,top2_class_name,top2_prob,density_dist,is_correct,knowledge_gap,gap_explanation,learning_objective,objective_description,selected_strategy,strategy_reason,n_experiences
19353,0,T-shirt/top,0,T-shirt/top,0.585474,0.735839,0.472785,6,Shirt,0.263054,9.513599,True,low_intra_class_diversity,Medium entropy (0.585) with sparse feature-space neighbourhood for 'T-shirt/top' (density_dist=9.514 > threshold 9.181). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
13587,4,Coat,4,Coat,0.585478,0.777935,0.570130,6,Shirt,0.207804,6.754671,True,general_uncertainty,"Moderate uncertainty (0.585). Prediction was correct (predicted 'Coat', true 'Coat'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Coat'.,8
49580,0,T-shirt/top,0,T-shirt/top,0.585504,0.798654,0.616900,6,Shirt,0.181755,7.546388,True,general_uncertainty,"Moderate uncertainty (0.586). Prediction was correct (predicted 'T-shirt/top', true 'T-shirt/top'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
44997,2,Pullover,2,Pullover,0.585508,0.777305,0.567065,4,Coat,0.210240,6.899198,True,general_uncertainty,"Moderate uncertainty (0.586). Prediction was correct (predicted 'Pullover', true 'Pullover'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Pullover'.,8
30277,3,Dress,3,Dress,0.585508,0.825819,0.711691,4,Coat,0.114128,6.696748,True,general_uncertainty,"Moderate uncertainty (0.586). Prediction was correct (predicted 'Dress', true 'Dress'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Dress'.,8
31084,6,Shirt,6,Shirt,0.585606,0.826782,0.703471,4,Coat,0.123311,6.752057,True,general_uncertainty,"Moderate uncertainty (0.586). Prediction was correct (predicted 'Shirt', true 'Shirt'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Shirt'.,8
35441,0,T-shirt/top,0,T-shirt/top,0.585666,0.728079,0.456207,6,Shirt,0.271873,9.860385,True,low_intra_class_diversity,Medium entropy (0.586) with sparse feature-space neighbourhood for 'T-shirt/top' (density_dist=9.860 > threshold 9.181). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
47111,1,Trouser,1,Trouser,0.585675,0.792956,0.604090,3,Dress,0.188866,9.982287,True,low_intra_class_diversity,Medium entropy (0.586) with sparse feature-space neighbourhood for 'Trouser' (density_dist=9.982 > threshold 9.181). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Trouser'.,8
10736,6,Shirt,6,Shirt,0.585679,0.732280,0.465132,0,T-shirt/top,0.267147,7.626825,True,general_uncertainty,"Moderate uncertainty (0.586). Prediction was correct (predicted 'Shirt', true 'Shirt'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Shirt'.,8
39576,4,Coat,4,Coat,0.585743,0.776195,0.562113,6,Shirt,0.214083,6.421612,True,general_uncertainty,"Moderate uncertainty (0.586). Prediction was correct (predicted 'Coat', true 'Coat'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Coat'.,8
